"광고그룹 보고서(2026.05.12.~2026.05.18.),2416927"
캠페인유형,캠페인,광고그룹,일별,매체이름,PC/모바일 매체,검색/콘텐츠 매체,상세지역,노출수,클릭수,클릭률(%),평균 CPC,총비용,총 전환수,직접전환수,간접전환수,총 전환율(%),총 전환매출액(원),직접전환매출액(원),간접전환매출액(원),총 전환당비용(원),총 광고수익률(%),구매완료 전환수,구매완료 전환매출액(원),구매완료 광고수익률(%)
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 시흥시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 안산시 단원구,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 안산시 상록구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 안양시 동안구,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 양주시,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 오산시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,경기도 오산시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 용인시 기흥구,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 용인시 수지구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 용인시 처인구,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 의왕시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 파주시,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 평택시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 화성시 동탄구,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 화성시 병점구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경상남도 김해시,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,경상남도 김해시,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경상남도 양산시,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경상남도 진주시,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경상남도 창원시 마산회원구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경상남도 함안군,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경상북도 경주시,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경상북도 구미시,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경상북도 영주시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,경상북도 영천시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,광주광역시 광산구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,광주광역시 남구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,광주광역시 서구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,대구광역시 달서구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,대구광역시 동구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,대전광역시 동구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,대전광역시 서구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,대전광역시 유성구,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,대전광역시 중구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,대한민국외,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,대한민국외,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,부산광역시 금정구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,부산광역시 남구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,부산광역시 동구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,부산광역시 북구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,부산광역시 사상구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,부산광역시 사하구,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,부산광역시 서구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,부산광역시 해운대구,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 강남구,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,서울특별시 강남구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 강동구,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,서울특별시 강동구,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 강북구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 강서구,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,서울특별시 강서구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,서울특별시 광진구,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
